input_uni,institute_name,course_id,course_title,discipline,specialization,degree,study_level,course_title_short,language,duration,course_fee,currency,rating,course_slug,institute_slug
Edinburgh Napier University,Edinburgh Napier University,4596755,Bachelor of Accounting & Finance (Advanced Entry) (Hons),Business & Management,Accounting & Finance,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-accounting-finance-advanced-entry-hons-4596755,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596756,Bachelor of Accounting & Finance (Hons),Business & Management,Accounting & Finance,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-accounting-finance-hons-4596756,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596757,Bachelor of Business Management (Hons),Business & Management,Business Management,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-business-management-hons-4596757,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596758,Bachelor of Business Management with Placement Year (Hons),Business & Management,Business Management,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-with-placement-year-hons-4596758,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596759,Bachelor of Business Management with Study Abroad Year (Hons),Business & Management,Business Management,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-with-study-abroad-year-hons-4596759,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596760,Bachelor of Business Management,Business & Management,Business Management,Bachelors,Undergraduate,BA,,1 year,17520.0,GBP,3,bachelor-of-business-management-4596760,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596761,Bachelor of Accounting (Hons),Business & Management,Accounting,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-accounting-hons-4596761,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596762,Bachelor of Accounting in Corporate Finance (Hons),Business & Management,Accounting In Corporate Finance,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-accounting-in-corporate-finance-hons-4596762,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596763,Bachelor of Acting & English (Hons),Arts & Humanities,Acting & English,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-acting-english-hons-4596763,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596764,Bachelor of Acting & English (Hons),Arts & Humanities,Acting & English,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-acting-english-hons-4596764,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596765,Bachelor of Stage & Screen Acting (Hons),Arts & Humanities,Stage & Screen Acting,Bachelors,Undergraduate,BA (Hons),,2 year,17520.0,GBP,3,bachelor-of-stage-screen-acting-hons-4596765,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596766,Bachelor of Psychology (Hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-psychology-hons-4596766,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596767,Bachelor of Psychology with Placement Year (Hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-psychology-with-placement-year-hons-4596767,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596768,Bachelor of Psychology with Study Abroad (Hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-psychology-with-study-abroad-hons-4596768,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596769,Bachelor of Psychology (Hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BSc (Hons),,4 year,17520.0,GBP,3,bachelor-of-psychology-hons-4596769,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596770,Bachelor of Psychology with Placement Year (hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BSc (Hons),,5 year,17520.0,GBP,3,bachelor-of-psychology-with-placement-year-hons-4596770,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596771,Bachelor of Psychology with Study Abroad (hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BSc (Hons),,5 year,17520.0,GBP,3,bachelor-of-psychology-with-study-abroad-hons-4596771,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596772,Bachelor of Psychology with Study Abroad (Hons),Social & Behavioural Science,Psychology,Bachelors,Undergraduate,BSc (Hons),,5 year,17520.0,GBP,3,bachelor-of-psychology-with-study-abroad-hons-4596772,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596773,Bachelor of Business Management in Entrepreneurship (Hons),Business & Management,Business Management In Entrepreneurship,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-business-management-in-entrepreneurship-hons-4596773,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596774,Bachelor of Business Management in Entrepreneurship with Placement Year (Hons),Business & Management,Business Management In Entrepreneurship,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-entrepreneurship-with-placement-year-hons-4596774,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596775,Bachelor of Business Management in Entrepreneurship with Study Abroad (Hons),Business & Management,Business Management In Entrepreneurship,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-entrepreneurship-with-study-abroad-hons-4596775,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596776,Bachelor of Business Management in Human Resource Management (Hons),Business & Management,Business Management In Human Resource Management,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-business-management-in-human-resource-management-hons-4596776,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596777,Bachelor of Business Management in Human Resource Management with Placement Year (Hons),Business & Management,Business Management In Human Resource Management,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-human-resource-management-with-placement-year-hons-4596777,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596778,Bachelor of Business Management in Human Resource Management with Study Abroad (Hons),Business & Management,Business Management In Human Resource Management,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-human-resource-management-with-study-abroad-hons-4596778,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596779,Bachelor of Business Management in Marketing (Hons),Business & Management,Business Management In Marketing,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-business-management-in-marketing-hons-4596779,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596780,Bachelor of Business Management in Marketing with Placement Year (Hons),Business & Management,Business Management In Marketing,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-marketing-with-placement-year-hons-4596780,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596781,Bachelor of Business Management in Marketing (Hons) with Study Abroad,Business & Management,Business Management In Marketing,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-marketing-hons-with-study-abroad-4596781,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596782,Bachelor of Business Management in Marketing with Study Abroad (Hons),Business & Management,Business Management In Marketing,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-business-management-in-marketing-with-study-abroad-hons-4596782,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596783,Bachelor of Criminology (Hons),Law,Criminology,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-criminology-hons-4596783,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596784,Bachelor of Criminology with Placement Year (Hons),Law,Criminology,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-criminology-with-placement-year-hons-4596784,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596785,Bachelor of Criminology with Study Abroad (Hons),Law,Criminology,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-criminology-with-study-abroad-hons-4596785,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596786,Bachelor of Criminology (Hons),Law,Criminology,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-criminology-hons-4596786,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596787,Bachelor of Criminology with Placement Year (Hons),Law,Criminology,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-criminology-with-placement-year-hons-4596787,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596788,Bachelor of Criminology with Study Abroad (Hons),Law,Criminology,Bachelors,Undergraduate,BA (Hons),,5 year,17520.0,GBP,3,bachelor-of-criminology-with-study-abroad-hons-4596788,edinburgh-napier-university
Edinburgh Napier University,Edinburgh Napier University,4596789,Bachelor of English & Film (Hons),Arts & Humanities,English & Film,Bachelors,Undergraduate,BA (Hons),,4 year,17520.0,GBP,3,bachelor-of-english-film-hons-4596789,edinburgh-napier-university
